Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,
Acura,Integra   ,,1993,1993,2623,140,126,135.3,19.4,29.6,50,-5,24.6,T5 ,,,,,,
Acura,Integra,Type R,1995,2001,2639,195,130,173.3,15.2,47.3,70,5,52.3,T4 ,FALSE,,FALSE,,5,FALSE
Acura,NSX,,1991,1992,2976,270,210,250,11.9,61.4,80,10,71.4,T3,FALSE,,FALSE,,10,FALSE
Acura,NSX,,1993,1997,3093,270,210,250,12.4,59.4,80,10,69.4,T3,FALSE,,FALSE,,10,FALSE
Acura,NSX,,1998,2001,3160,290,224,268,11.8,61.9,80,10,71.9,T3,FALSE,,FALSE,,10,FALSE
Acura,NSX,,2002,2005,2954,290,224,268,11,65.2,80,10,75.2,T2,FALSE,,FALSE,,10,FALSE
Acura,NSX,,2017,2022,3854,573,476,540.7,7.1,81.7,105,22.5,104.2,T1 ,FALSE,,FALSE,,22.5,FALSE
Acura,RSX,Type S,2002,2002,2767,200,142,180.7,15.3,46.9,60,0,46.9,T4 ,FALSE,,FALSE,,0,FALSE
Alfa Romeo,2000 Spider Veloce,,1974,1976,2320,110,110,110,21.1,22.4,45,-7.5,14.9,T5 ,FALSE,,FALSE,,-7.5,FALSE
Alfa Romeo,Giulia 2.0T AWD,,2017,2017,3600,280,306,288.7,12.5,59,60,0,59,T4 ,FALSE,,FALSE,,0,FALSE
Alfa Romeo ,Giulia Q4 ti,,2018,2018,3632,280,306,288.7,12.6,58.5,60,0,58.5,T4 ,,,,,,
Ariel,Atom,,2006,2006,1431,245,150,213.3,6.7,83.5,100,20,103.5,T1 ,FALSE,,FALSE,,20,FALSE
Ariel,Atom 500,,2008,2008,1213,500,284,428,2.8,100,100,20,120,T1 ,FALSE,,FALSE,,20,FALSE
Aston Martin,DB5,,1963,1965,3310,282,288,284,11.7,62.5,40,-10,52.5,T4 ,FALSE,,FALSE,,-10,FALSE
Aston Martin,DBS V12,,2007,2012,3740,510,420,480,7.8,78.9,80,10,88.9,T2,FALSE,,FALSE,,10,FALSE
Aston Martin,Vantage,,2012,,3595,420,346,395.3,9.1,73.4,80,10,83.4,T2,FALSE,,FALSE,,10,FALSE
Audi,A4 1.8T Quattro,,1996,2001,3241,150,155,151.7,21.4,21.2,60,0,21.2,T5 ,FALSE,,FALSE,,0,FALSE
Audi,A4 2.0 T quattro,,2005,2005,3517,200,207,202.3,17.4,38.1,60,0,38.1,T5 ,FALSE,,FALSE,,0,FALSE
Audi,A4 2.0 T quattro,,2006,2008,3549,200,207,202.3,17.5,37.5,60,0,37.5,T5 ,FALSE,,FALSE,,0,FALSE
Audi,A4 2.8 Quattro,,1996,2001,3384,190,207,195.7,17.3,38.5,60,0,38.5,T5 ,FALSE,,FALSE,,0,FALSE
Audi,A4 3.0 Quattro,,2002,2005,3583,220,221,220.3,16.3,42.9,60,0,42.9,T5 ,FALSE,,FALSE,,0,FALSE
Audi,A4 3.2 quattro,,2006,2006,3649,255,243,251,14.5,50.2,60,0,50.2,T4 ,FALSE,,FALSE,,0,FALSE
Audi,A4 TT FWD,,1998,2006,2910,180,173,177.7,16.4,42.4,60,0,42.4,T5 ,FALSE,,FALSE,,0,FALSE
Audi,Coupe GT,,1987,1987,2507,134,137,135,18.6,33.1,30,-15,18.1,T5 ,FALSE,,FALSE,,-15,FALSE
Audi,R8 V10,,2006,,3583,518,391,475.7,7.5,80,90,15,95,T1 ,FALSE,,FALSE,,15,FALSE
Audi,R8 V8,,2006,,3450,414,317,381.7,9,73.6,90,15,88.6,T2,FALSE,,FALSE,,15,FALSE
Audi,S4,,1991,1994,3814,227,258,237.3,16.1,43.7,55,-2.5,41.2,T5 ,FALSE,,FALSE,,-2.5,FALSE
Audi,S4,,1998,2001,3594,250,258,252.7,14.2,51.5,65,2.5,54,T4 ,FALSE,,FALSE,,2.5,FALSE
Audi,S4,,2003,2005,3660,340,302,327.3,11.2,64.5,65,2.5,67,T3,FALSE,,FALSE,,2.5,FALSE
Audi,S4,,2006,2008,3869,340,302,327.3,11.8,61.8,65,2.5,64.3,T3,FALSE,,FALSE,,2.5,FALSE
Audi,S4,,2009,,3637,333,325,330.3,11,65.2,70,5,70.2,T3,FALSE,,FALSE,,5,FALSE
Audi,S6,,1999,2003,4024,340,310,330,12.2,60.2,60,0,60.2,T3,FALSE,,FALSE,,0,FALSE
Audi,S6,,2006,2011,4024,429,398,418.7,9.6,71.2,65,2.5,73.7,T3,FALSE,,FALSE,,2.5,FALSE
Audi,S6 Quattro,,1994,1997,3825,227,240,231.3,16.5,41.7,55,-2.5,39.2,T5 ,FALSE,,FALSE,,-2.5,FALSE
Audi,TT RS,,2012,2013,3307,360,343,354.3,9.3,72.3,80,10,82.3,T2,FALSE,,FALSE,,10,FALSE
Audi,TTS,,2009,2015,3200,265,258,262.7,12.2,60.2,65,2.5,62.7,T3,FALSE,,FALSE,,2.5,FALSE
Austin Healy,3000 MK III,,1959,1967,2550,150,165,155,16.5,42.1,20,-20,22.1,T5 ,FALSE,,FALSE,,-20,FALSE
BMW,2002,,1974,,2317,100,106,102,22.7,15.5,30,-15,0.5,T5 ,FALSE,,FALSE,,-15,FALSE
BMW,128i,,2008,2013,3252,230,200,220,14.8,49.2,68,4,53.2,T4 ,FALSE,,FALSE,,4,FALSE
BMW,135i Coupe inc'l M-Sport,,2004,2013,3373,300,300,300,11.2,64.2,70,5,69.2,T3,FALSE,,FALSE,,5,FALSE
BMW,135is,,2013,,3373,320,317,319,10.6,67.1,75,7.5,74.6,T3,FALSE,,FALSE,,7.5,FALSE
BMW,318i,,1990,1991,2657,134,127,131.7,20.2,26.2,60,0,26.2,T5 ,FALSE,,FALSE,,0,FALSE
BMW,318is,,1990,1991,2602,134,127,131.7,19.8,28,60,0,28,T5 ,FALSE,,FALSE,,0,FALSE
BMW,318ti,,1993,2000,2745,140,129,136.3,20.1,26.4,60,0,26.4,T5 ,FALSE,,FALSE,,0,FALSE
BMW,318ti with S52 swap,,1991,1991,2602,240,236,238.7,10.9,65.7,60,0,65.7,T3,FALSE,,FALSE,,0,FALSE
BMW,320i,,2013,,3295,180,184,181.3,18.2,34.8,70,5,39.8,T5 ,FALSE,,FALSE,,5,FALSE
BMW,323ci,,2000,,3153,170,181,173.7,18.2,34.8,60,0,34.8,T5 ,FALSE,,FALSE,,0,FALSE
BMW,325i,,1987,1991,2854,168,164,166.7,17.1,39.2,55,-2.5,36.7,T5 ,FALSE,,FALSE,,-2.5,FALSE
BMW,325i,,1992,1995,3087,189,181,186.3,16.6,41.6,60,0,41.6,T5 ,FALSE,,FALSE,,0,FALSE
BMW,325i,,2001,2005,3241,184,175,181,17.9,35.9,60,0,35.9,T5 ,FALSE,,FALSE,,0,FALSE
BMW,325is,,1992,1995,3087,189,181,186.3,16.6,41.6,65,2.5,44.1,T5 ,FALSE,,FALSE,,2.5,FALSE
BMW,328is,,1996,1999,3120,190,206,195.3,16,44.1,65,2.5,46.6,T4 ,FALSE,,FALSE,,2.5,FALSE
BMW,328iX,,2012,2019,3498,240,255,245,14.3,51.3,70,5,56.3,T4 ,FALSE,,FALSE,,5,FALSE
BMW,328xi,,2010,2010,3605,230,200,220,16.4,42.4,70,5,47.4,T4 ,,,,,,
BMW,330Ci,,2003,2003,3285,228,221,225.7,14.6,50.1,65,2.5,52.6,T4 ,FALSE,,FALSE,,2.5,FALSE
BMW,330Ci ZHP,,2003,2005,3285,235,222,230.7,14.2,51.5,70,5,56.5,T4 ,FALSE,,FALSE,,5,FALSE
BMW,330i,,2006,2006,3417,255,221,243.7,14,52.4,70,5,57.4,T4 ,FALSE,,FALSE,,5,FALSE
BMW,330i Sports Package,,2001,2005,3318,225,216,222,14.9,48.5,70,5,53.5,T4 ,FALSE,,FALSE,,5,FALSE
BMW,335d RWD Sedan,,2007,2011,3781,265,425,318.3,11.9,61.5,70,5,66.5,T3,FALSE,,FALSE,,5,FALSE
BMW,335i RWD Coupe,,2007,,3571,300,300,300,11.9,61.4,70,5,66.4,T3,FALSE,,FALSE,,5,FALSE
BMW,335i RWD Sedan,,2006,2009,3594,300,300,300,12,61.1,70,5,66.1,T3,FALSE,,FALSE,,5,FALSE
BMW,335xi,,2008,2008,3814,300,295,298.3,12.8,57.7,70,5,62.7,T3,FALSE,,FALSE,,5,FALSE
BMW,340XI,,2017,,3802,320,332,324,11.7,62.1,70,5,67.1,T3,FALSE,,FALSE,,5,FALSE
BMW,528i,,1995,2000,3252,190,210,196.7,16.5,41.7,65,2.5,44.2,T5 ,FALSE,,FALSE,,2.5,FALSE
BMW,530i,,2000,2003,3472,228,220,225.3,15.4,46.5,65,2.5,49,T4 ,FALSE,,FALSE,,2.5,FALSE
BMW,535i,,1985,1988,3249,182,214,192.7,16.9,40.3,40,-10,30.3,T5 ,FALSE,,FALSE,,-10,FALSE
BMW,540i,,1996,2003,3803,282,320,294.7,12.9,57.1,65,2.5,59.6,T4 ,FALSE,,FALSE,,2.5,FALSE
BMW,E30 M3,,1987,1991,2866,192,170,184.7,15.5,46,70,5,51,T4 ,FALSE,,FALSE,,5,FALSE
BMW,E36 M3  (3.0),,1995,1995,3175,240,225,235,13.5,54.6,81,10.5,65.1,T3,FALSE,,FALSE,,10.5,FALSE
BMW,E36 M3 (3.2),,1997,1999,3175,240,236,238.7,13.3,55.5,81,10.5,66,T3,FALSE,,FALSE,,10.5,FALSE
BMW,E46 M3,,2001,2006,3415,333,269,311.7,11,65.4,80,10,75.4,T2,FALSE,,FALSE,,10,FALSE
