Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,,source_csv_row,reject_reason
Alfa Romeo,2000 Spider Veloce,,1974,1976,2320,110,110,110,21.1,22.4,45,-7.5,14.9,T5 ,FALSE,,FALSE,,FALSE,FALSE,10,row 10: Model '2000 Spider Veloce' does not match any model key/name for make 'alfa_romeo'
Ariel,Atom,,2006,2006,1431,245,150,213.3,6.7,83.5,100,20,103.5,T1 ,FALSE,,FALSE,,FALSE,FALSE,13,row 13: unknown Make 'Ariel' (not in makes_and_models.json)
Ariel,Atom 500,,2008,2008,1213,500,284,428,2.8,100,100,20,120,T1 ,FALSE,,FALSE,,FALSE,FALSE,14,row 14: unknown Make 'Ariel' (not in makes_and_models.json)
Aston Martin,DB5,,1963,1965,3310,282,288,284,11.7,62.5,40,-10,52.5,T4 ,FALSE,,FALSE,,FALSE,FALSE,15,row 15: Model 'DB5' does not match any model key/name for make 'aston_martin'
Austin Healy,3000 MK III,,1959,1967,2550,150,165,155,16.5,42.1,20,-20,22.1,T5 ,FALSE,,FALSE,,FALSE,FALSE,38,row 38: unknown Make 'Austin Healy' (not in makes_and_models.json)
BMW,2002,,1974,,2317,100,106,102,22.7,15.5,30,-15,0.5,T5 ,FALSE,,FALSE,,FALSE,FALSE,39,row 39: Model '2002' does not match any model key/name for make 'bmw'
BMW,135is,,2013,,3373,320,317,319,10.6,67.1,75,7.5,74.6,T3,FALSE,,FALSE,,FALSE,FALSE,42,row 42: Model '135is' does not match any model key/name for make 'bmw'
BMW,323ci,,2000,,3153,170,181,173.7,18.2,34.8,60,0,34.8,T5 ,FALSE,,FALSE,,FALSE,FALSE,48,row 48: Model '323ci' does not match any model key/name for make 'bmw'
BMW,328iX,,2012,2019,3498,240,255,245,14.3,51.3,70,5,56.3,T4 ,FALSE,,FALSE,,FALSE,FALSE,54,row 54: Model '328iX' does not match any model key/name for make 'bmw'
BMW,340XI,,2017,,3802,320,332,324,11.7,62.1,70,5,67.1,T3,FALSE,,FALSE,,FALSE,FALSE,64,row 64: Model '340XI' does not match any model key/name for make 'bmw'
BMW,E30 M3,,1987,1991,2866,192,170,184.7,15.5,46,70,5,51,T4 ,FALSE,,FALSE,,FALSE,FALSE,69,row 69: Model 'E30 M3' does not match any model key/name for make 'bmw'
BMW,E36 M3  (3.0),,1995,1995,3175,240,225,235,13.5,54.6,81,10.5,65.1,T3,FALSE,,FALSE,,FALSE,FALSE,70,row 70: Model 'E36 M3  (3.0)' does not match any model key/name for make 'bmw'
BMW,E36 M3 (3.2),,1997,1999,3175,240,236,238.7,13.3,55.5,81,10.5,66,T3,FALSE,,FALSE,,FALSE,FALSE,71,row 71: Model 'E36 M3 (3.2)' does not match any model key/name for make 'bmw'
